 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - Rio Grande do Sul,,,,,,,
Internações por Ano processamento e Região de Saúde (CIR),,,,,,,
Grupo de Causas: W85-W99 Expos cor.elétr,rad.,temp pressão extr, X00-X09 Exposição à fumaça, ao fogo e às chamas, X10-X19 Contato fonte de calor e subst quentes,,
Faixa Etária 1: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Sexo: Masc,,,,,,,
Período:Jan/2013-Ago/2023,,,,,,,
"Ano processamento;""43001 Região 01 - Verdes Campos"";""43002 Região 02 - Entre Rios"";""43003 Região 03 - Fronteira Oeste"";""43004 Região 04 - Belas Praias"";""43005 Região 05 - Bons Ventos"";""43006 Região 06 - Vale do Paranhana e Costa Serra"";""43007 Região 07 - Vale dos Sinos"";""43008 Região 08 - Vale do Caí e Metropolitana"";""43009 Região 09 - Carbonífera/Costa Doce"";""43010 Região 10 - Capital e Vale do Gravataí"";""43011 Região 11 - Sete Povos das Missões"";""43012 Região 12 - Portal das Missões"";""43013 Região 13 - Diversidade"";""43014 Região 14 - Fronteira Noroeste"";""43015 Região 15 - Caminho das Águas"";""43016 Região 16 - Alto Uruguai Gaúcho"";""43017 Região 17 - Planalto"";""43018 Região 18 - Araucárias"";""43019 Região 19 - Botucaraí"";""43020 Região 20 - Rota da Produção"";""43021 Região 21 - Sul"";""43022 Região 22 - Pampa"";""43023 Região 23 - Caxias e Hortênsias"";""43024 Região 24 - Campos de Cima da Serra"";""43025 Região 25 - Vinhedos e Basalto"";""43026 Região 26 - Uva Vale"";""43027 Região 27 - Jacuí Centro"";""43028 Região 28 - Vinte e Oito"";""43029 Região 29 - Vales e Montanhas"";""43030 Região 30 - Vale da Luz"";""Total""",,,,,,,
2013;23;91;6;3;430;16;991;272;-;420;5;2;3;5;193;-;7;39;1;-;11;1;11;-;56;25;29;158;17;-;2815,,,,,,,
2014;32;103;9;1;422;11;853;273;-;365;-;8;1;11;248;3;2;43;-;2;16;-;8;-;71;16;11;205;24;-;2738,,,,,,,
2015;8;74;7;4;270;9;861;396;-;423;1;6;-;14;378;-;10;33;-;2;17;-;18;-;88;18;20;236;34;-;2927,,,,,,,
2016;9;86;7;1;348;6;844;321;-;417;1;3;3;20;437;-;3;31;-;-;24;-;9;-;70;19;14;226;25;-;2924,,,,,,,
2017;16;138;4;5;384;10;920;221;2;638;6;1;5;11;456;4;3;59;-;-;22;1;3;-;84;5;21;208;7;-;3234,,,,,,,
2018;13;147;16;6;392;18;763;251;-;702;-;4;3;6;435;1;5;54;2;1;5;1;13;-;70;4;20;263;27;-;3222,,,,,,,
2019;29;147;7;3;391;25;754;389;-;1022;3;5;-;6;487;1;11;68;17;1;10;1;6;-;46;3;14;252;29;-;3727,,,,,,,
2020;19;156;3;13;462;24;738;394;-;951;3;1;2;7;558;3;4;64;18;1;19;1;20;-;47;-;15;228;18;1;3770,,,,,,,
2021;29;143;5;28;575;9;767;381;2;885;1;3;-;7;456;-;8;87;24;1;1;-;17;-;66;19;21;245;19;16;3815,,,,,,,
2022;19;116;5;242;516;10;791;397;-;836;1;2;4;5;573;1;4;110;15;-;7;-;12;1;68;3;20;301;39;4;4102,,,,,,,
2023;12;105;2;65;373;8;415;285;4;679;1;-;2;3;373;2;-;97;12;-;2;-;8;1;37;4;10;154;31;6;2691,,,,,,,
Total;209;1306;71;371;4563;146;8697;3580;8;7338;22;35;23;95;4594;15;57;685;89;8;134;5;125;2;703;116;195;2476;270;27;35965,,,,,,,
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS),,,,,,,
 Notas:,,,,,,,
 ,,,,,,,
 Situação da base de dados nacional em 29/04/2016.,,,,,,,
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.,,,,,,,
 ,,,,,,,
 Consulte o site da Secretaria Estadual de Saúde para mais informações.,,,,,,,
